iter	Passed	Remaining
852	3256	187626
853	3260	187618
854	3263	187609
855	3267	187606
856	3271	187592
857	3275	187582
858	3278	187568
859	3282	187552
860	3286	187551
861	3289	187520
862	3293	187501
863	3296	187493
864	3300	187492
865	3304	187495
866	3308	187482
867	3311	187460
868	3315	187446
869	3318	187419
870	3322	187402
871	3325	187374
872	3329	187364
873	3332	187335
874	3336	187307
875	3340	187312
876	3343	187291
877	3347	187284
878	3350	187249
879	3354	187229
880	3357	187198
881	3360	187166
882	3364	187154
883	3368	187131
884	3371	187110
885	3375	187102
886	3378	187094
887	3382	187088
888	3386	187071
889	3389	187056
890	3393	187061
891	3397	187040
892	3401	187032
893	3404	187025
894	3408	187011
895	3412	186999
896	3415	186956
897	3419	186951
898	3422	186928
899	3425	186898
900	3429	186866
901	3432	186850
902	3436	186840
903	3439	186807
904	3442	186775
905	3446	186754
906	3449	186728
907	3453	186691
908	3456	186667
909	3460	186658
910	3463	186635
911	3467	186621
912	3470	186594
913	3474	186571
914	3477	186553
915	3481	186530
916	3484	186505
917	3487	186483
918	3491	186470
919	3495	186455
920	3498	186429
921	3501	186404
922	3505	186400
923	3509	186373
924	3512	186349
925	3515	186323
926	3519	186312
927	3523	186297
928	3526	186275
929	3530	186257
930	3533	186242
931	3537	186239
932	3540	186209
933	3544	186192
934	3548	186189
935	3551	186169
936	3554	186143
937	3558	186127
938	3561	186106
939	3565	186091
940	3569	186076
941	3573	186079
942	3576	186059
943	3579	186028
944	3583	185999
945	3586	185971
946	3589	185952
947	3593	185940
948	3597	185928
949	3600	185913
950	3604	185903
951	3607	185884
952	3611	185878
953	3615	185865
954	3618	185846
955	3622	185829
956	3625	185797
957	3628	185767
958	3632	185764
959	3636	185767
960	3640	185771
961	3644	185773
962	3648	185774
963	3651	185766
964	3655	185768
965	3659	185763
966	3663	185754
967	3667	185746
968	3670	185748
969	3675	185791
970	3679	185786
971	3683	185779
972	3686	185773
973	3690	185753
974	3693	185726
975	3697	185707
976	3700	185693
977	3704	185680
978	3708	185671
979	3711	185654
980	3715	185638
981	3718	185614
982	3722	185604
983	3725	185589
984	3729	185564
985	3732	185543
986	3735	185509
987	3738	185478
988	3742	185450
989	3745	185442
990	3749	185419
991	3753	185415
992	3756	185400
993	3760	185378
994	3763	185348
995	3766	185337
996	3770	185321
997	3774	185315
998	3777	185282
